	Age_Estimate	Age_Std.Rrror	Age_Z_value	Age_Pvalue	Gender_Estimate	Gender_Std.Rrror	Gender_Z_value	Gender_Pvalue	Metabolite_Estimate	Metabolite_Std.Rrror	Metabolite_Z_value	Metabolite_Pvalue	BMI_Estimate	BMI_Std.Rrror	BMI_Z_value	BMI_Pvalue	Smoking_Estimate	Smoking_Std.Rrror	Smoking_Z_value	Smoking_Pvalue	DM_status_Estimate	DM_status_Std.Rrror	DM_status_Z_value	DM_status_Pvalue	Fasting_status_Estimate	Fasting_status_Std.Rrror	Fasting_status_Z_value	Fasting_status_Pvalue	Cohort_Estimate	Cohort_Std.Rrror	Cohort_Z_value	Cohort_Pvalue	N	Ndf	Ncases	Ncontrols
FAw3	0.016043313	0.006912888	2.320782927	0.020298562	0.181138728	0.138017493	1.312433114	0.18937404	0.125061102	0.071455889	1.750186087	0.080086209	0.014382929	0.0163867	0.87771966	0.380095873	0.506627845	0.087585308	5.784393024	7.28E-09	0.621327724	0.22502465	2.761154052	0.00575975	-0.079176087	0.11773502	-0.672493938	0.501269298	0.298021318	0.203191504	1.466701673	0.142457227	1215	1203	346	869
S.HDL.PL	0.013764888	0.006989812	1.969278747	0.04892109	0.225822583	0.137150406	1.646532369	0.099654202	-0.124992309	0.072509444	-1.723807297	0.084742637	0.021269303	0.016648751	1.277531408	0.201414699	0.505579023	0.087457156	5.780876555	7.43E-09	0.643036857	0.224948594	2.85859469	0.004255221	-0.070913355	0.117912414	-0.601407034	0.547568915	0.303099021	0.203398719	1.490171728	0.136179088	1215	1203	346	869
LDL.D	0.017402628	0.006924747	2.513106767	0.011967311	0.23113356	0.13748173	1.681194724	0.092725098	-0.129188239	0.078835766	-1.638700877	0.101275571	0.015014169	0.016349116	0.918347466	0.358436985	0.501453475	0.087567124	5.726503885	1.03E-08	0.6070145	0.224970688	2.698193729	0.006971686	-0.092923641	0.117684685	-0.789598419	0.429762332	0.201450485	0.206895494	0.973682318	0.330214299	1213	1201	346	867
M.HDL.C_.	0.014438356	0.006930537	2.083295408	0.037224305	0.230799093	0.137298252	1.681005328	0.09276188	-0.110944053	0.071876944	-1.543527699	0.122702792	0.012716214	0.016521867	0.769659624	0.441501826	0.499058592	0.087577016	5.698511047	1.21E-08	0.659479331	0.226380896	2.913140383	0.003578137	-0.07657394	0.118483002	-0.646286291	0.518093965	0.315950476	0.204859667	1.542277598	0.12300615	1207	1195	345	862
HDL2.C	0.015612294	0.006867046	2.273509489	0.022995495	0.287900978	0.145869549	1.973688	0.04841723	-0.109432511	0.072866604	-1.50181983	0.133143646	0.010987533	0.016704252	0.657768622	0.51068682	0.499285235	0.087414446	5.711701676	1.12E-08	0.593420748	0.225965801	2.626152922	0.008635601	-0.076029028	0.117746868	-0.645698945	0.518474344	0.27642761	0.202677945	1.363876123	0.172606557	1215	1203	346	869
Cit	0.019415514	0.007222023	2.688375935	0.007180051	0.226373614	0.137201922	1.649930336	0.098957185	-0.124444334	0.083892463	-1.483379196	0.137973691	0.015068123	0.01636561	0.920718679	0.357197321	0.489017929	0.087817808	5.56855086	2.57E-08	0.632439714	0.224665799	2.815024435	0.004877353	-0.078397065	0.117804846	-0.665482513	0.505741925	0.243944842	0.203035712	1.201487363	0.229562206	1215	1203	346	869
ApoA1	0.015643943	0.006854994	2.282123564	0.022482046	0.291635727	0.147136904	1.982070576	0.047471342	-0.107262802	0.073159581	-1.466148394	0.142607864	0.012550035	0.016519003	0.759733212	0.447414072	0.501263925	0.087379173	5.736652209	9.66E-09	0.59209258	0.225997098	2.61991231	0.008795238	-0.085563479	0.117820987	-0.726215941	0.467706401	0.259035404	0.202767317	1.277500773	0.201425508	1215	1203	346	869
S.HDL.PL_.	0.014793148	0.00694266	2.13076094	0.033108842	0.209645098	0.136894527	1.531435202	0.12566187	-0.100701548	0.069144774	-1.456386965	0.145285677	0.018503852	0.016479773	1.122821999	0.2615131	0.501554693	0.087428505	5.736741028	9.65E-09	0.646455043	0.224941334	2.873882856	0.004054593	-0.101321218	0.118329641	-0.856262366	0.391852673	0.319459915	0.20532811	1.555850853	0.119743562	1215	1203	346	869
HDL.C	0.015698782	0.006862716	2.287546522	0.022163943	0.285970906	0.146064635	1.957838096	0.050249014	-0.105924393	0.073304019	-1.445001163	0.148457559	0.011232421	0.016688397	0.673067694	0.500904226	0.49941251	0.087403693	5.713860505	1.10E-08	0.593720565	0.225993305	2.627159979	0.008610084	-0.075847753	0.117747998	-0.644153228	0.519476077	0.269986877	0.202623147	1.332458214	0.182709664	1215	1203	346	869
XXL.VLDL.TG_.	0.015316944	0.006907565	2.217415957	0.02659468	0.210122103	0.137191458	1.531597559	0.125621775	-0.105783213	0.074827257	-1.413698932	0.157450319	0.015502797	0.016387906	0.945990102	0.344153635	0.51183438	0.087567332	5.845037979	5.06E-09	0.650630659	0.225749623	2.882089681	0.003950473	-0.072016058	0.118060629	-0.609992157	0.541867003	0.326165596	0.205467814	1.587429141	0.112415484	1210	1198	346	864
IDL.TG_.	0.015271629	0.006890736	2.216255264	0.026674025	0.216401811	0.13691328	1.580575762	0.113975071	0.102436799	0.072551202	1.411924214	0.157972277	0.01128832	0.016671169	0.677116309	0.498332162	0.49690521	0.087669617	5.667929514	1.45E-08	0.606126547	0.227419428	2.665236442	0.007693421	-0.091371929	0.118166609	-0.773246601	0.439376452	0.248385688	0.203335934	1.221553335	0.221876585	1213	1201	346	867
XXL.VLDL.PL_.	0.016739358	0.006915659	2.420500829	0.015499144	0.196786045	0.13777963	1.428266609	0.153215135	0.099358944	0.070891301	1.401567507	0.161044436	0.012963906	0.016620696	0.779985728	0.435399276	0.510192565	0.087671207	5.819385686	5.91E-09	0.592594033	0.226816121	2.612662755	0.00898399	-0.081866066	0.118249208	-0.692318095	0.488737589	0.262591937	0.203294063	1.291685223	0.196466177	1213	1201	344	869
SFA.FA	0.015564748	0.006886411	2.260211949	0.0238081	0.205658002	0.136914773	1.502087736	0.133074452	-0.10190133	0.073244526	-1.391248415	0.164150111	0.016510407	0.016370159	1.008567326	0.313182184	0.505324884	0.087430544	5.779729405	7.48E-09	0.637362854	0.224457441	2.839571068	0.004517423	-0.112863299	0.119763954	-0.942381203	0.345997507	0.317343243	0.205358166	1.545315916	0.122269868	1215	1203	346	869
IDL.C_.	0.015512257	0.006873516	2.256815538	0.024019603	0.226565277	0.137404004	1.648898655	0.099168399	-0.098580375	0.071065993	-1.387166631	0.165390958	0.012225545	0.016555202	0.738471518	0.460227969	0.498962132	0.087589068	5.696625653	1.22E-08	0.609817368	0.227082886	2.685439564	0.007243447	-0.095291964	0.11834692	-0.805191755	0.420709034	0.238782056	0.2039702	1.170671287	0.241730931	1213	1201	346	867
S.HDL.L	0.014595351	0.006939698	2.103167964	0.03545109	0.227542743	0.137318231	1.657046864	0.097510001	-0.095193077	0.072664288	-1.31003935	0.190182524	0.01949644	0.016561055	1.177246299	0.239097214	0.506167996	0.087411585	5.790628255	7.01E-09	0.630652294	0.224748335	2.806037671	0.005015483	-0.059171445	0.119129825	-0.496697156	0.619402629	0.27214009	0.20247912	1.344040264	0.178935367	1215	1203	346	869
S.HDL.P	0.014596825	0.006940841	2.103033865	0.035462809	0.226735605	0.137272146	1.651723322	0.098590966	-0.095903393	0.073462293	-1.30547781	0.191730198	0.019834018	0.016608127	1.19423566	0.232385798	0.506365766	0.087418285	5.792446827	6.94E-09	0.632713399	0.224748008	2.815212484	0.004874499	-0.059973384	0.119048596	-0.50377229	0.614421402	0.272036445	0.202468096	1.343601533	0.179077274	1215	1203	346	869
L.HDL.L	0.016286306	0.006867415	2.371533532	0.017714439	0.277447503	0.146122552	1.89873158	0.057599777	-0.094389902	0.074256557	-1.271132216	0.203681616	0.01131128	0.016765425	0.674678964	0.499879752	0.498331315	0.087420004	5.700426566	1.20E-08	0.596808712	0.225995627	2.640797617	0.008271111	-0.08188808	0.117571252	-0.69649748	0.486117335	0.271107804	0.202561773	1.338395689	0.180767483	1215	1203	346	869
M.LDL.PL_.	0.015194182	0.006921277	2.195285899	0.028143096	0.200042928	0.137011905	1.460040485	0.144278948	-0.089002851	0.070023437	-1.271043731	0.203713091	0.017774144	0.016484309	1.078246244	0.28092388	0.504311703	0.087433441	5.767949883	8.02E-09	0.64577144	0.224997803	2.870123311	0.004103118	-0.091164554	0.117695451	-0.774580094	0.438587824	0.304994045	0.2041391	1.494050115	0.135162521	1213	1201	346	867
XS.VLDL.CE_.	0.016175264	0.0068691	2.354786415	0.018533355	0.225490473	0.137207642	1.643425025	0.100295026	-0.091332104	0.071966994	-1.269083213	0.204411387	0.012844398	0.016502743	0.778318972	0.436380993	0.491085527	0.087727571	5.597847083	2.17E-08	0.592193636	0.226260392	2.617310224	0.008862575	-0.098704361	0.118496267	-0.832974432	0.404859149	0.219322536	0.206526519	1.061958228	0.288254649	1215	1203	346	869
M.HDL.CE_.	0.014662724	0.006926841	2.116798094	0.034276987	0.220481855	0.137077129	1.60845107	0.107736424	-0.090057417	0.072922374	-1.234976491	0.216839254	0.013222678	0.016483323	0.802185258	0.422445802	0.492556238	0.087456559	5.632010278	1.78E-08	0.636583052	0.225499792	2.822987317	0.004757845	-0.082754642	0.118217077	-0.700022739	0.483913104	0.313582088	0.205477578	1.526113411	0.126981623	1207	1195	345	862
L.HDL.CE	0.016268909	0.006869072	2.368429163	0.017863801	0.270519573	0.144969494	1.866044816	0.062035096	-0.090286444	0.074429461	-1.213047132	0.225111801	0.011278659	0.016806497	0.671089184	0.502163717	0.499019442	0.087407707	5.709101194	1.14E-08	0.602317147	0.22561933	2.669616767	0.007593786	-0.083566689	0.117564518	-0.710815563	0.477198535	0.277776661	0.202645292	1.370753094	0.170451938	1215	1203	346	869
L.HDL.PL	0.016119946	0.006862899	2.348853761	0.018831301	0.275565488	0.146546633	1.880394544	0.060054327	-0.089051791	0.07393694	-1.20442896	0.228423824	0.011826637	0.016710843	0.707722334	0.479117705	0.498374126	0.087411597	5.701464588	1.19E-08	0.597624943	0.226073931	2.643493393	0.008205537	-0.079144403	0.117626679	-0.672843981	0.501046554	0.270617783	0.20254151	1.336110228	0.181513247	1215	1203	346	869
Tyr	0.01623623	0.006862363	2.365982349	0.017982302	0.214434962	0.136799406	1.567513834	0.116994635	-0.083552031	0.069538505	-1.201521811	0.229548851	0.018727717	0.016658833	1.124191444	0.260931818	0.500004344	0.087313673	5.726529725	1.03E-08	0.630574674	0.224860736	2.804289824	0.005042755	-0.100000346	0.119512268	-0.836737075	0.402740374	0.271794066	0.202769342	1.340410063	0.180112066	1212	1200	345	867
L.HDL.C	0.016280153	0.006868945	2.370109703	0.017782808	0.268705354	0.14494697	1.853818351	0.063765152	-0.087628392	0.074447282	-1.177052947	0.239174374	0.011313419	0.016823665	0.672470574	0.501284167	0.499051839	0.08740564	5.709606865	1.13E-08	0.6024144	0.225665766	2.669498391	0.007596464	-0.083414296	0.117568363	-0.709496107	0.478016666	0.27706982	0.202626017	1.367395082	0.171501503	1215	1203	346	869
XS.VLDL.FC_.	0.016146089	0.006879004	2.347154981	0.018917384	0.191686334	0.137339793	1.395708632	0.162802254	0.088412477	0.076228961	1.159827924	0.246118873	0.02042017	0.016726675	1.220814668	0.222156199	0.506538109	0.087478522	5.790428324	7.02E-09	0.659324644	0.225463473	2.92430802	0.00345223	-0.114199785	0.119675597	-0.954244539	0.339959875	0.277930529	0.202577598	1.371970699	0.17007256	1213	1201	346	867
IDL.TG	0.015483734	0.006929496	2.234467448	0.025452332	0.188391811	0.13806301	1.364535016	0.172399241	0.085026836	0.074684178	1.138485271	0.254917906	0.014305116	0.016466868	0.868721165	0.384999662	0.503255352	0.087642659	5.742127845	9.35E-09	0.636301022	0.225559747	2.820986596	0.00478762	-0.08572877	0.117766759	-0.727953883	0.466641817	0.31461817	0.20651752	1.52344542	0.127647306	1210	1198	346	864
L.HDL.C_.	0.01595554	0.006894788	2.314145268	0.020659755	0.237235621	0.138604773	1.711597768	0.08697082	-0.080047392	0.070890765	-1.129165309	0.258828105	0.010788567	0.016699327	0.646048009	0.518248264	0.499563658	0.087486486	5.710180881	1.13E-08	0.613432983	0.225986208	2.714470889	0.006638173	-0.103076127	0.118219194	-0.871906864	0.383259189	0.294311932	0.203283294	1.447792031	0.147675222	1212	1200	344	868
L.HDL.P	0.016230555	0.006865449	2.364092215	0.018074313	0.26960088	0.146091157	1.845429149	0.064975136	-0.083410603	0.074860781	-1.114209629	0.265189266	0.011791537	0.016767715	0.703228645	0.481913271	0.49864318	0.087407742	5.704794191	1.16E-08	0.601835904	0.225813058	2.665195308	0.007694362	-0.081797945	0.117580644	-0.695675263	0.48663222	0.271941986	0.202527935	1.342738152	0.179356776	1215	1203	346	869
L.HDL.CE_.	0.015987136	0.006896342	2.318205281	0.020438167	0.230571818	0.138107443	1.669510444	0.095016262	-0.077833206	0.071106305	-1.094603435	0.27369041	0.011469702	0.016620122	0.690109378	0.490125406	0.50386354	0.087606429	5.7514448	8.85E-09	0.63656977	0.226663427	2.808436183	0.004978275	-0.106153776	0.118408191	-0.896507032	0.369982026	0.299547122	0.203983609	1.468486236	0.141972192	1211	1199	344	867
S.LDL.PL_.	0.015358835	0.006914692	2.22118847	0.026338199	0.205695091	0.13683557	1.503228226	0.132780201	-0.07383937	0.069187766	-1.067231596	0.285867268	0.017010734	0.016449356	1.034127658	0.301076488	0.505113779	0.087405049	5.779000023	7.51E-09	0.641705862	0.224977153	2.852315689	0.004340197	-0.087248183	0.117609531	-0.741846193	0.45818053	0.304628085	0.204831202	1.487215239	0.136957973	1213	1201	346	867
S.HDL.CE_.	0.01553367	0.006911654	2.247460539	0.02461061	0.204439821	0.136905686	1.493289489	0.135361426	0.074230945	0.070516166	1.052679818	0.292487762	0.018616545	0.016555975	1.12446079	0.260817595	0.506362454	0.087495948	5.787267502	7.15E-09	0.661088235	0.225506256	2.931573822	0.003372492	-0.10328993	0.119131749	-0.867022692	0.385929576	0.296442377	0.204102845	1.452416681	0.146385781	1214	1202	346	868
M.HDL.FC_.	0.0152046	0.006876985	2.210939807	0.027040006	0.253945709	0.141829529	1.790499549	0.07337364	-0.072962545	0.070998879	-1.027657711	0.304110867	0.01281746	0.016497681	0.776924989	0.437203027	0.504248224	0.087494325	5.763210668	8.25E-09	0.639706121	0.226226737	2.827721114	0.004688063	-0.073763775	0.119409765	-0.617736542	0.53674902	0.25861034	0.203023069	1.273797805	0.202735083	1213	1201	345	868
L.LDL.PL_.	0.015286083	0.006929555	2.205925615	0.027389208	0.196624544	0.137647627	1.428463011	0.153158634	-0.072643912	0.071482402	-1.0162489	0.309510876	0.016223998	0.01636731	0.991244061	0.321566421	0.499969774	0.087371363	5.722352901	1.05E-08	0.63861678	0.224915126	2.839367853	0.004520301	-0.081758032	0.1175679	-0.695411177	0.486797658	0.317433136	0.207667871	1.528561613	0.126373158	1215	1203	346	869
M.LDL.TG	0.015616186	0.006923902	2.25540249	0.024108077	0.187076474	0.138586473	1.349889854	0.177051317	0.075185142	0.074490227	1.009328948	0.312816902	0.015121083	0.016403292	0.921832176	0.356616121	0.506075588	0.087554166	5.780142847	7.46E-09	0.644267083	0.225504029	2.857009193	0.004276535	-0.084165736	0.117736535	-0.714865074	0.47469242	0.30922274	0.206429224	1.497960097	0.134143618	1210	1198	346	864
XL.HDL.CE_.	0.016860789	0.00692982	2.433077502	0.014971096	0.253515382	0.142830247	1.774941836	0.075907492	0.071950657	0.071315083	1.008912194	0.313016746	0.013574911	0.016548647	0.820303425	0.412043155	0.499477924	0.087608425	5.701254491	1.19E-08	0.631985976	0.226458622	2.790734885	0.005258853	-0.082841167	0.118392235	-0.699717908	0.484103491	0.275871386	0.202623672	1.361496333	0.173356892	1212	1200	345	867
XXL.VLDL.FC_.	0.016136228	0.006878847	2.345775014	0.018987565	0.218595627	0.137184482	1.593442819	0.111060886	0.069429411	0.069070814	1.005191718	0.314804543	0.012474192	0.016594176	0.751721095	0.452218802	0.502121736	0.087494753	5.738878239	9.53E-09	0.64149339	0.226000956	2.838454328	0.004533261	-0.085657735	0.118662873	-0.721857921	0.470381834	0.278342902	0.204441753	1.361477771	0.173362754	1211	1199	345	866
UnSat	0.015953216	0.006881145	2.318395515	0.020427836	0.202029661	0.137163341	1.472912949	0.14077451	0.086380909	0.086746473	0.995785837	0.319354213	0.017776528	0.016461659	1.079874612	0.28019802	0.50884584	0.087655594	5.805058369	6.43E-09	0.626744616	0.224320054	2.793974966	0.005206451	-0.100203899	0.11907231	-0.841538214	0.400046486	0.28963563	0.203392149	1.424025612	0.154439058	1215	1203	346	869
S.HDL.C_.	0.015593647	0.006909497	2.256842625	0.02401791	0.204136215	0.136929971	1.490807401	0.136012068	0.069027693	0.070378161	0.98081127	0.32668582	0.018771628	0.016611729	1.130022547	0.258466724	0.506514504	0.08748894	5.789468956	7.06E-09	0.661015615	0.225556304	2.930601379	0.003383066	-0.102006016	0.119133174	-0.856235193	0.3918677	0.293591138	0.203982004	1.439299218	0.150065764	1214	1202	346	868
L.HDL.FC_.	0.016473185	0.006878033	2.395043102	0.016618412	0.240961429	0.139108931	1.732177988	0.083241877	-0.068998392	0.071287249	-0.967892475	0.333098073	0.012905734	0.016741733	0.770872036	0.440782784	0.500730479	0.087430185	5.727203706	1.02E-08	0.609964541	0.225335631	2.706915624	0.006791152	-0.077659595	0.117981405	-0.658235891	0.510386566	0.27308001	0.2025228	1.348391441	0.177532516	1214	1202	345	869
XL.HDL.PL_.	0.016733413	0.006893902	2.427277336	0.015212622	0.240229742	0.140802796	1.706143263	0.087981409	-0.064828205	0.068075578	-0.952297535	0.340946107	0.013669502	0.016536512	0.826625487	0.408449367	0.502915177	0.087526486	5.745862734	9.15E-09	0.632406457	0.226070287	2.797388662	0.005151752	-0.072107119	0.118280517	-0.609628033	0.542108237	0.275824243	0.202663592	1.360995531	0.173515102	1213	1201	346	867
LDL.TG	0.015679613	0.006921618	2.265310538	0.02349363	0.188297446	0.138598294	1.358584161	0.174278397	0.071100137	0.07480959	0.950414746	0.341901554	0.015031551	0.016417392	0.915586976	0.359883565	0.505758184	0.087563811	5.77588139	7.66E-09	0.642772931	0.225479356	2.850695256	0.004362376	-0.083484087	0.117748325	-0.70900446	0.478321709	0.308739441	0.206817566	1.492810536	0.135486789	1210	1198	346	864
XS.VLDL.TG	0.015907068	0.006885551	2.310209721	0.020876546	0.2025597	0.136870707	1.479934633	0.138890692	0.065565221	0.069709834	0.940544784	0.346938189	0.01305309	0.016651928	0.783878597	0.433111349	0.503257306	0.087649868	5.741677879	9.37E-09	0.635175773	0.225740494	2.81374317	0.004896833	-0.080617921	0.117778394	-0.6844882	0.493666938	0.293800209	0.204210303	1.438713936	0.150231589	1212	1200	346	866
L.LDL.TG	0.015657127	0.006926989	2.260307805	0.023802154	0.188483868	0.138701633	1.358915992	0.174173211	0.069882304	0.076376472	0.914971613	0.360206533	0.015270741	0.016399095	0.931194161	0.351753138	0.505767151	0.087564538	5.775935821	7.65E-09	0.643013124	0.225461095	2.851991481	0.004344626	-0.084751582	0.117747558	-0.719773585	0.471664411	0.309076055	0.207221899	1.491522166	0.135824456	1210	1198	346	864
Crea	0.017191856	0.007052691	2.437630677	0.01478387	0.163293288	0.153007857	1.06722159	0.285871786	-0.070331282	0.077952409	-0.902233599	0.36693279	0.018253025	0.016463504	1.108696214	0.267561256	0.508343368	0.087585863	5.803943131	6.48E-09	0.636785105	0.224858452	2.831937605	0.004626688	-0.064525421	0.118347117	-0.545221736	0.585601024	0.230998483	0.2041865	1.13131124	0.257924115	1210	1198	344	866
Lac	0.015837712	0.006878198	2.30259599	0.021301585	0.224883232	0.137557863	1.63482644	0.102085436	0.078358657	0.086914032	0.901565083	0.367287946	0.013785999	0.016425663	0.839296349	0.401303032	0.496207017	0.087545971	5.667959468	1.45E-08	0.630222434	0.225647526	2.792950773	0.005222964	-0.078952987	0.118278522	-0.667517535	0.504441613	0.302394583	0.205656894	1.470383889	0.141457812	1212	1200	346	866
L.HDL.FC	0.016248834	0.006866796	2.366290418	0.017967344	0.25436694	0.14466484	1.75831902	0.078693243	-0.066753777	0.075006228	-0.889976452	0.37347853	0.012099871	0.016887191	0.71651173	0.473675427	0.499598144	0.087386575	5.717104076	1.08E-08	0.608131572	0.22563267	2.695228358	0.007034041	-0.082772179	0.117593253	-0.703885443	0.481504118	0.275376315	0.202573228	1.359391455	0.174022577	1215	1203	346	869
